"Delivery Instructions","発送について"
"Delivery Date","配達希望日"
"Delivery Time","配達希望時間帯"
"Delivery Time Customer Comment","その他お問い合わせ事項がございましたら、こちらにご入力ください。"
"Delivery Comment","注文時コメント"
"Admin Area Customer Comment","お問い合わせ内容"
"View Shopping Cart","カゴの中を見る"
"go to Top page","HOME"
"Please <a href=""%s"">continue shopping</a>.","<a href=""%s"">ここ</a>をクリックしてお買い物を続けてください。"
"View Cart","カゴの中を見る"
"Availability: In stock.","在庫状況:在庫あり"
"Availability: Out of stock.","在庫状況:在庫なし"
"Please enter Billing Address","ご注文者住所を入力してください。"
"Please enter Shipping Address","お届け先を入力してください。"
"Please enter shipping address.","お届け先を入力してください。"
"Shipping method","出荷方法"
"Payment method","支払方法"
"Back to shipping method","出荷方法指定に戻る"
"Export To E-Hiden2","エクスポートe飛伝II"
"Membership Required","お客さま限定商品"
"not designated","指定なし"
"Morning","午前中"
"12-14","１２時〜１４時"
"14-16","１４時〜１６時"
"16-18","１６時〜１８時"
"18-21","１８時〜２１時"
"Yuucho Bank","郵貯振替"
"Epsilon Cc","Epsilon クレジットカード"
"Convenience Store","コンビニ支払"
"Credit Card", "クレジットカード"
"Bank","銀行振込"
"Direct Mail / Catalog","DM/カタログ"
"Standard Shipping","通常配送"
"Basic Price","無料判定基準価格"
"Shipping Fee","有料時配送料"
"Above Basic Price","送料無料"
"Below Basic Price","標準送料"
"Include Free Shipping","無料商品"
"RSS Title","タイトル"
"Language","言語"
"What's New","新着情報"
"What's New Description(1 line)","説明(1行のみ)"
"Managing Editor Mail Address","新着情報管理者メールアドレス"
"Web Master Mail Address","ウェブマスターメールアドレス"
"RSS Generator","RSS生成システム名"
"Copyright Message","コピーライトメッセージ"
"RSS Category","RSSカテゴリ"
"RSS Document URL","RSSドキュメントURL"
"Manage What's New","新着情報管理"
"Max Display Count","最大表示件数"
"The news has been saved.","新着情報が保存されました。"
"Target Window Name","ターゲットウィンドウ名"
"Export To Yayoi","弥生会計エクスポート"
"Qty for Item's Status to Become Out of Stock","在庫切れにする数量"
