"An error occurred while marking notification as read.","メッセージの既読化中にエラーが発生しました。"
"An error occurred while marking the messages as read.","メッセージの既読化中にエラーが発生しました。"
"An error occurred while removing messages.","メッセージの削除中にエラーが発生しました。"
"An error occurred while removing the message.","メッセージの削除中にエラーが発生しました。"
"Are you sure?","本当によろしいですか？"
"Last Update","最終更新"
"Mark as Read","既読にする"
"Mark as read","読み取り用としてマーク"
"Messages Inbox","受信箱"
"Please select messages.","メッセージを選択してください。"
"Read Details","詳細を読む"
"Severity","重要度"
"Show List","リストを表示"
"Show Toolbar","ツールバーを表示"
"The message has been marked as read.","メッセージを既読にしました。"
"The message has been removed.","メッセージを削除しました。"
"Total of %d record(s) have been marked as read.","合計 %d 件を既読にしました。"
"Total of %d record(s) have been removed.","合計 %d 件を削除しました。"
"Unable to proceed. Please, try again.","エラーが発生しました。やり直してください。"
"Update Frequency","更新間隔"
"Use HTTPS to Get Feed","フィードの取得にHTTPSを使用する"
"critical","重要"
"major","メジャー"
"minor","マイナー"
"notice","お知らせ"
"You have %s unread message(s).","%s の未読メッセージ"
"Go to messages inbox","受信箱へ"
