" The customer does not exist in the system anymore.","このお客さまはすでにシステム上に存在しません。"
" [deleted]"," [削除済]"
" and ","と "
"%s (Default Template from Locale)","%s (ロケールごとのデフォルトテンプレート)"
"%s cache type(s) disabled.","%s 個のキャッシュを無効にしました。"
"%s cache type(s) enabled.","%s 件のキャッシュを有効にしました。"
"%s cache type(s) refreshed.","%s 件のキャッシュを更新しました。"
"(Absolute path or Relative to Magento install root, ex. var/export)","(絶対パスまたはMagentoのインストールパスからの相対パス。例：var/export)"
"(For US 2-letter state names)","(都道府県コード)"
"(If left empty will be auto-generated)","(空白の場合は自動生成します)"
"(Leave empty for first spreadsheet)","(空を残すための最初のスプレッドシート)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(インポートファイル内の店舗の項目が空白、または抜けている場合、商品はこの店舗に対して追加・更新されます。)"
"(Shift-)Click or drag to change value","クリックまたはドラッグして価格変更"
"(Starting with)","(で始まる)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","「いいえ」の場合はマップされた項目のみインポートされます。マッピングする場合は'column1'、'column2'のように指定してください"
"(You have to increase php memory_limit before changing this value)","(この値を変更する前に php memory_limit の値を増やしてください)"
"* - If indexing is in progress, it will be killed and new indexing process will start.","* - もし、インデックス処理が途中の場合、その処理を強制終了して新しい処理を開始します。"
"- Click on any of the time parts to increase it","時間部分のどれかをクリックして追加"
"- Hold mouse button on any of the above buttons for faster selection.","より速く実行されるようにこれ以上マウスボタンを押さないでください＊"
"- Use the %s buttons to select month","- %sボタンで月を選択"
"- Use the %s, %s buttons to select year"," %s, %s ボタンで都市を選択 "
"- or Shift-click to decrease it"," Shiftキーを押しながらクリックすると減らすことができます"
"- or click and drag for faster selection.","またはクリックアンドドラッグでより迅速な選択が可能です。"
"-- Not Selected --","-- Not Selected --"
"-- Please Select --","-- 選択してください --"
"-- Please Select Billing Agreement--","-- Please Select Billing Agreement--"
"-- Please Select a Category --","-- Please Select a Category --"
"-- Please select --","-- 選択してください --"
"--Please Select--","-- 選択してください --"
"1 Hour","1時間"
"12 Hours","12時間"
"12h AM/PM","12時間表記"
"2 Hours","2時間"
"24 Hours","24 時間"
"24h","24時間"
"2YTD","2年間"
"6 Hours","6時間"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404 エラー</h1><p>ページが見つかりません。</p>"
"A new password was sent to your email address. Please check your email and click Back to Login.","あなたのメールアドレス宛に新しいパスワードを送信しました。メールをご確認のうえ、「ログイン画面に戻る」をクリックしてください。"
"A user with the same user name or email aleady exists.","A user with the same user name or email aleady exists."
"API Key","APIキー"
"API Key Confirmation","APIキー確認"
"Abandoned Carts","Abandoned Carts"
"About the calendar","カレンダーに関して"
"Access Denied","アクセス拒否"
"Access denied","アクセス拒否"
"Access denied.","アクセス拒否"
"Account Created in:","アカウント作成店舗:"
"Account Created on (%s):","アカウント作成日時 (%s):"
"Account Created on:","アカウント作成日時:"
"Account Status","アカウントステータス"
"Account status","アカウントステータス"
"Actions XML","アクションXML"
"Active","有効"
"Add Author","投稿者追加"
"Add Contents Path","コンテンツパスを追加"
"Add Exception","例外の追加"
"Add Field Mapping","列定義を追加する"
"Add Field with URL:","URLにフィールドを追加"
"Add New Image","新規画像の追加"
"Add New Profile","新規プロファイルの追加"
"Add New Role","新規ロールの追加"
"Add New Template","新規テンプレートの追加"
"Add New URL Rewrite","URL書換えの追加"
"Add New User","ユーザーの追加"
"Add New Variable","新しい変数を追加"
"Add New osCommerce Profile","新しいOSコマースを加える"
"Add PHP Extension dependency","PHP拡張依存性を追加"
"Add Package dependency","パッケージに依存性を追加"
"Add URL Rewrite","URL書換追加"
"Add URL Rewrite for a Category","カテゴリのURL書き換えを追加"
"Add URL Rewrite for a Product","商品のURL書き換えを追加"
"Add after","追加後"
"Additional Cache Management","追加キャッシュ管理"
"Address Type:","住所タイプ:"
"Admin","管理者"
"Advanced Admin Section","拡張管理セクション"
"Advanced Profiles","拡張プロファイル"
"Advanced Section","拡張セクション"
"All","全て"
"All Allowed Countries","すべての国"
"All Cache","すべてのキャッシュ"
"All Files","全てのファイル"
"All Reviews","全てのレビュ"
"All Store Views","全ての店舗ビュー"
"All Tags","全てのタグ"
"All countries","全ての国"
"All fields","全てのフィールド"
"All possible rates were fetched, please click on ""Save"" to apply","すべての利用可能な為替レートを取得しました。""保存"" をクリックして適用してください。"
"All rates were fetched, please click on ""Save"" to apply","すべてのレートを取得しました。 ""保存"" をクリックして適用してください。"
"All valid rates have been saved.","正しいレートが保存されました。"
"Amounts","売上高"
"An error occurred while clearing the JavaScript/CSS cache.","JavaScriptとCSSのキャッシュをクリア中にエラーが発生しました。"
"An error occurred while clearing the image cache.","画像キャッシュのクリア中にエラーが発生しました。"
"An error occurred while creating the backup.","バックアップ作成中にエラーが発生しました。"
"An error occurred while deleting email template data. Please review log and try again.","メールテンプレートを削除中にエラーが発生しました。ログを確認の上やり直してください。"
"An error occurred while deleting this role.","権限を削除中にエラーが発生しました。"
"An error occurred while deleting this set.","セットを削除中にエラーが発生しました。"
"An error occurred while deleting this template.","テンプレートの削除中にエラーが発生しました。"
"An error occurred while finishing process. Please refresh the cache","処理を完了中にエラーが発生しました。キャッシュを更新してください。"
"An error occurred while rebuilding the CatalogInventory Stock Status.","在庫ステータス再構築中にエラーが発生しました。"
"An error occurred while rebuilding the catalog index.","カタログインデックスの再構築中にエラーが発生しました。"
"An error occurred while rebuilding the flat catalog category.","An error occurred while rebuilding the flat catalog category."
"An error occurred while rebuilding the flat product catalog.","フラット商品カタログの再構築中にエラーが発生しました。"
"An error occurred while rebuilding the search index.","検索インデックスの再構築中にエラーが発生しました。"
"An error occurred while refreshing the Catalog Rewrites.","カタログ書き換えの更新中にエラーが発生しました。"
"An error occurred while refreshing the Layered Navigation indices.","階層ナビゲーションインデックスをリフレッシュ中にエラーが発生しました。"
"An error occurred while refreshing the catalog rewrites.","カタログ書き換えの更新中にエラーが発生しました。"
"An error occurred while refreshing the layered navigation indices.","階層ナビゲーションインデックスを更新中にエラーが発生しました。"
"An error occurred while saving account.","アカウントの保存中にエラーが発生しました。"
"An error occurred while saving this configuration:","An error occurred while saving this configuration:"
"An error occurred while saving this role.","An error occurred while saving this role."
"An error occurred while saving this template.","An error occurred while saving this template."
"An error occurred while updating the selected review(s).","An error occurred while updating the selected review(s)."
"Any","任意"
"Any Attribute Set","任意の属性セット"
"Any Group","任意のグループ"
"Any Status","任意のステータス"
"Any Store","任意の店舗"
"Any Type","任意のタイプ"
"Any Visibility","任意の表示状態"
"Archive file name:","アーカイブファイル名:"
"Are you sure that you want to delete this template?","このテンプレートを削除してもいいですか？"
"Are you sure that you want to strip tags?","本当にタグを分割してよろしいですか？"
"Are you sure you want to do this?","実行してもいいですか？"
"Area","地域"
"Assigned","割り当て済"
"Associated Tags","関連付けられたタグ"
