" and "," and "
"(Absolute path or Relative to Magento install root, ex. var/export)","(Magentoインストールルートへの絶対パスまたは相対パス, ex. var/export)"
"(For US 2-letter state names)","(アメリカの場合は 州名2文字表記)"
"(If left empty will be auto-generated)","()"
"(Leave empty for first spreadsheet)","()"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(輸入品ファイルの中の'店舗'のコラムに商品がなければ、この店舗に追加/アップロードされます。)"
"(Shift-)Click or drag to change value","クリックまたはドラッグで価格を変更"
"(Starting with)","(Starting with)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","('No'のときはマッピングされたフィールドだけがインポートされます。マッピングするには'column1', 'column2'のように書きます)"
"(You have to increase php memory_limit before changing this value)","(この価格を変更する前にphp memory_limitを増加させなければいけません。)"
"(\t for tab)","(タブは'\t'を入力)"
"- Click on any of the time parts to increase it","時間部分のどれかをクリックして追加"
"- Hold mouse button on any of the above buttons for faster selection.","より速く実行されるようにこれ以上マウスボタンを押さないでください＊"
"- Use the %s buttons to select month","-  %sボタンを使って月を選択"
"- Use the %s, %s buttons to select year","-  %sを使って, %s ボタンで年を選択"
"- or Shift-click to decrease it","Shift-clickで減らす＊"
"- or click and drag for faster selection.","クリックとドラッグでより速く実行"
"-- Please Select Billing Agreement--","-- 請求同意書を選択してください--"
"About the calendar","カレンダーに関して"
"Access denied.","アクセス拒否。"
"Account Created in:","アカウント作成元:"
"Account Created on (%s):","アカウント作成元 (%s):"
"Account Created on:","アカウント作成元:"
"Action","アクション"
"Actions","アクション"
"Add Author","作者を追加"
"Add Contents Path","コンテンツパスを追加"
"Add Field with URL:","URL追加:"
"Add New Role","新しい機能を追加"
"Add New User","新しいユーザーを追加"
"Add PHP Extension dependency","PHP拡張依存性を追加"
"Add Package dependency","パッケージ依存性を追加"
"Address Type:","アドレスタイプ"
"All","すべて"
"All fields","すべてのフィールド"
"Archive file name:","ファイルネームをアーカイブする:"
"Are you sure that you want to delete this template?","本当にこのテンプレートを消去しますか?"
"Are you sure that you want to strip tags?","本当にタグをはがしますか?"
"Attribute Set Name:","属性セット名:"
"Attributes","属性"
"Authors","著作権者"
"Available Products","有効な商品"
"Big Image","ビッグイメージ"
"Bundle Items","バンドルアイテム"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved."," ダイナミックプライシングでのバンドルはカスタム定義したオプションを含むことはできませんのでオプションは保存されません。"
"CSV / Tab separated","CSV / タブ区切り"
"Catalog","カタログ"
"Channel","キャンセル"
"Child Transactions","子トランザクション"
"Choose Store View","店舗ービューを選択"
"Clear","クリア"
"Client Session Timeout (sec.)","クライアントセッションタイムアウト (秒)"
"Close","閉じる"
"Comments History","コメント履歴"
"Confirmed email:","確認用メール:"
"Connect with the Magento Community","Magento公式サイト"
"Contents","コンテンツ"
"Country:","国:"
"Created At","Created At"
"Credit Card Number: xxxx-%s","クレジットカードナンバー: xxxx-%s"
"Credit Card Type: %s","クレジットカードタイプ: %s"
"Credit Memo History","クレジットメモ履歴"
"Credit Memo Totals","クレジットメモ合計"
"Current Configuration Scope:","現在の設定範囲:"
"Custom","カスタム"
"Customer Group:","お客さまグループ:"
"DHTML Date/Time Selector","DHTML 日付/時間　選択"
"Data Format","データフォーマット"
"Data transfer:","データ転移:"
"Date selection:","日付選択:"
"Date selector","日付選択"
"Decimal separator:","桁区切り:"
"Default (Admin) Values","デフォルト(Admin)値"
"Default Values","デフォルト値"
"Direction:","Direction:"
"Display %s first","%sを最初に表示"
"Distributed under GNU LGPL. See %s for details.","Distributed under GNU LGPL. 詳細は%sを参照。"
"Drag to move","ドラッグして移動"
"Edit Role","機能編集"
"Edit User '%s'","ユーザー'%s'を編集"
"Email Preview","メールプレビュー"
"Email:","メール:"
"Enclose Values In:","Enclose Values In＊:"
"Entity type:","統一タイプ"
"Excl. Tax","税抜き"
"Expiration Date: %s/%s","有効期限: %s/%s"
"Export","エクスポート"
"Export Filters","エクスポートフィルタ"
"Export to:","エクスポート先:"
"Export:","エクスポート:"
"Extension","拡張"
"Extensions","拡張"
"FTP Host[:Port]","FTP IPアドレス[:ポート番号]"
"Field Mapping","フィールドマッピング"
"File Information","ファイル情報"
"File name:","ファイル名:"
"Files","ファイル"
"Final Price","最終価格"
"First Name:","名:"
"For latest version visit: %s","＊: %s"
"From","＊"
"Get help for this page",""
"Global Record Search","全体検索"
"Go Today","＊"
"Google Base Items","Googleベースの商品"
"Group:","グループ:"
"Help Us Keep Magento Healthy - Report All Bugs","Magentoを健全に保つためにご協力ください - バグを報告する"
"Ignore","無視"
"Images","画像"
"Import","インポート"
"Import Service","インポートサービス"
"In Database:","＊:"
"In File:","In File:"
"Include","含む"
"Interactive","インタラクティブ"
"Interface Locale: %s","インターフェース場所: %s"
"Invalid webservice adapter specified.","不正なWebサービスアダプタが指定されました。"
"Invalid webservice handler specified.","不正なWebサービスハンドラが指定されました。"
"Invoice History","納品履歴"
"Invoice Totals","納品履歴"
"Is Closed","クローズ済"
"Issue Number","発行ナンバー"
"Issuer: %s","発行: %s"
"JavaScript/CSS","JavaScript/CSS"
"JavaScript/CSS Cache","JavaScript/CSSキャッシュ"
"Last 5 Orders","最後に注文した5件"
"Last 5 Search Terms","最後に検索した用語５つ"
"Last Logged In (%s):","最終ログイン(%s):"
"Last Logged In:","最終ログイン:"
"Last Name:","姓:"
"Latest Message:","最新のメッセージ:"
"Leave empty to use tax identifier","税鑑定のため未記入にしておく＊"
"Links with associated products will retain only after saving current product.","子商品との関連付けは保存時に行われます。"
"Loading...","ロード中..."
"Local Server","ローカルサーバー"
"Local/Remote Server","ローカル/リモートサーバー"
"Logged in as %s"," %sとしてログイン"
"MS Excel XML","Excel形式のXML"
"Magento Core Api","Magento Core Api*"
"Magento Core Api Section","Magento Core Api Section＊"
"Magento Logo","Magentoロゴ"
"Magento ver. %s","Magentoバージョン %s"
"Magento&trade; is a trademark of Magento Inc.<br/>Copyright &copy; %s Magento Inc.","Magento&trade; は Magento Inc. の商標です。<br/>Copyright &copy; %s Magento Inc."
"Make sure that data encoding in the file is consistent and saved in one of supported encodings (UTF-8 or ANSI).","Make sure that data encoding in the file is consistent and saved in one of supported encodings (UTF-8 or ANSI)."
"Manage Stores","Manage店舗"
"Max","最大"
"Min","最小"
"N/A","N/A＊"
"Name","名前"
"Name on the Card: %s","カードネーム: %s"
"Name:","名前:"
"Next month (hold for menu)","次月 (hold for menu)"
"Next page","次のページ"
"Next year (hold for menu)","次年(hold for menu)"
"No Data Found","日付が見つかりません。"
"No information available.","利用可能な情報はありません。"
"No search keywords.","検索したキーワードはありません."
"None","None"
"Note:","ノート:"
"Number of records:","登録ナンバー:"
"Old rate:","以前のレート:"
"Only mapped fields","マップされたフィールド"
"Order Totals","注文合計"
"Order cannot be placed.","注文を保存できませんでした。"
"Original Magento attribute names in first row:","Magentoの属性名を先頭行に配置する:"
"Package","パッケージ"
"Packages","パッケージ"
"Parent Transaction ID","親トランザクションID"
"Passive mode","受動モード"
"Path","パス"
"Path:","パス:"
"Phone:","電話:"
"Please Select","選択してください"
"Please confirm site switching. All data that hasn\'t been saved will be lost.","site switchingを確認してください。 まだ保存されていないすべてのデータは失われてしまいます。"
"Please continue with placing order.","注文を完了するには先にお進み頂く必要があります"
"Please enter 6 or more characters.","6文字以上記入してください。"
"Please enter a number greater than 0 in this field.","0以上の数を記入してください。"
"Please enter a valid $ amount. For example $100.00.","有効なドル値を挿入してください。(例) $100.00."
"Please enter a valid URL. For example http://www.example.com or www.example.com","有効なURLを記入してください。。(例) http://www.example.com または www.example.com"
"Please enter a valid URL. http:// is required","有効なURLを記入してください。 http://が必要です。"
"Please enter a valid credit card number.","クレジットカード番号を記入してください。"
"Please enter a valid date.","日付を記入"
"Please enter a valid number in this field.","ここに数字を記入してください。"
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","電話番号を記入してください。. (例) (123) 456-7890 or 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","ソーシャルセキュリティナンバーを記入してください。. (例) 123-45-6789."
"Please enter a valid value from list","価格を記入してください"
"Please enter a valid value, ex: 10,20,30","価格を記入してください。, (例): 10,20,30"
"Please enter a valid zip code.","郵便番号を記入してください。"
"Please enter a valid zip code. For example 90602 or 90602-1234.","郵便番号を記入してください。(例) 90602 または 90602-1234."
"Please enter valid password.","パスワードを記入してください。"
"Please make sure that your changes were saved before running the profile.","プロファイルが実行される前に変更が保存されていることを確認してください。"
"Please make sure your passwords match.","パスワードが合っているか確かめてください"
"Please select State/Province.","地域を選択してください"
"Please select an option.","オプションを選択してください。"
"Please select one of the above options.","上のオプションから一つ選択してください。"
"Please select one of the options.","オプションからひとつ選択してください。"
"Please use in this field only ""a-z,0-9,_"".","ここでは""a-z,0-9,_""のみ使用してください。"
"Please use letters only (a-z) in this field.","ここでは (a-z)のみ使用してください。"
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","ここでは数字のみ使用してください。また、ドットやカンマのような文字やスペースは使用できません。"
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","このフィールドは半角英数字で入力してください。スペースや他の文字はご使用いただけません。"
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","ここでアルファベット(a-z)かまたは数字(0-9)のみを使用してください。"
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","このデータフォーマットを使用してください。: dd/mm/yyyy. (例) 17/03/2006 2006年3月17日"
"Please wait, loading...","ロード中...お待ちください。"
"Prev. month (hold for menu)","前月 (hold for menu)"
"Prev. year (hold for menu)","前年 (hold for menu)"
"Previous page","前ページ"
"Read details","詳細を読む"
"Reference ID","参照ID"
"Remote FTP","遠隔FTP"
"Resource Access","リソースアクセス"
"Resources","リソース"
"Role Users","役割ユーザー"
"Roles","権限"
"Roles Resources","役割"
"SKU:","SKU:"
"Select All","全て選択"
"Select Date","日付を選択"
"Select Range","範囲を選択"
"Select Visible","表示中を選択"
"Select date","日付を選択"
