"%s and greater","%s とそれ以上"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d個</strong>の商品が検索キーワードにヒットしました"
"Advanced Search","詳細な検索"
"Advanced Search Form","詳細検索フォーム"
"Advanced Search Result","詳細検索結果"
"All","全て"
"Applies for ""Like"" search type only.","""Like""検索にのみ適用されます。"
"Apply Layered Navigation if Search Results are Less Than","階層ナビゲーションが表示される結果件数最大値"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process.","属性の設定は検索インデックスと関連しています。 <a href=""%s"">検索インデックス再構築</a>を行ってください。"
"Autogenerated Site Map","サイトマップの自動生成"
"Catalog Advanced Search","詳細な検索"
"Catalog Search","カタログ検索"
"Catalog Search Index","検索インデックス"
"Don't see what you're looking for?","探しているものは見つかりましたか？"
"Enter ""0"" to enable layered navigation for any number of results.","""0""を指定すると件数にかかわらず階層ナビゲーションが有効になります。"
"Go","次へ"
"Grid","表"
"Home","ホーム"
"List","一覧"
"Maximum Query Length","検索文字列長(最大)"
"Maximum Query Words Count","最大検索語数"
"Maximum Search query  length is %s. Your query was cut.","検索文字列長の最大は%s文字です。超えた分は切り捨てられました。"
"Minimal Query Length","検索文字列長(最小)"
"Minimum Search query length is %s","検索文字列長は%s文字以上です"
"Modify your search","検索を修正"
"No items were found using the following search criteria.","検索条件を満たす商品が見つかりません。"
"Please specify at least one search term.","1つ以上の検索語を指定してください。"
"Popular Search Terms","人気の検索語句"
"Quick Search Form","簡易検索フォーム"
"Rebuild Catalog product fulltext search index","商品全文検索インデックスを再構築する"
"Relevance","関連性"
"Results","結果"
"Search","検索"
"Search Settings","検索条件"
"Search Terms","人気の検索語句"
"Search Type","検索タイプ"
"Search entire store here...","店舗全体から検索...."
"Search results for '%s'","'%s'の検索結果"
"Search results for: '%s'","'%s'の検索結果"
"Search:","検索:"
"Subscribe to Feed","Subscribe to Feed*"
"There are no search terms available.","利用できる検索語がありません"
"Your search returns no results.","検索結果はありません。"
"up to %s","最大で %s"
"Like","Like"
"Fulltext","全文検索"
"Combine (Like and Fulltext)","組み合わせ(Likeと全文検索)"
