"%s was added to your shopping cart.","%sをショッピングカートに追加しました。"
"Add New Address","住所を追加"
"Add New Condition","新しい条件を追加する"
"Add to Compare","商品比較に追加"
"Address %s of %s","住所%s の %s"
"After Adding a Product Redirect to Shopping Cart","商品を追加後にショッピングカート画面にリダイレクトする。"
"Allow Guest Checkout","ゲストチェックアウトを有効"
"Already registered?","登録はお済みですか？"
"An error occurred in the process of payment","決済処理中にエラーが発生しました"
"An error occurred while deleting this condition.","条件の削除中にエラーが発生しました。"
"An error occurred while saving this condition.","条件の保存中にエラーが発生しました。"
"Apply Coupon","クーポンを適用"
"Are you sure you would like to remove this item from the shopping cart?","このアイテムをショッピングカートから削除してもよろしいですか？"
"Back to Billing Information","ご注文者情報に戻る"
"Back to Select Addresses","住所選択に戻る"
"Back to Shipping Information","お届け先情報に戻る"
"Back to Shopping Cart","ショッピングカートに戻る"
"Based on your selection, you may be interested in the following items:","あなたへのおすすめ"
"Billing Information","ご注文者情報"
"Billing Information - %s","領収情報 - %s"
"Cancel Coupon","クーポンをキャンセルする"
"Cannot add item to the shopping cart.","商品をショッピングカートに追加できません。"
"Cannot add the item to shopping cart","商品をショッピングカートに追加できません。"
"Cannot add the item to shopping cart.","商品をショッピングカートに追加できません。"
"Cannot apply the coupon code.","クーポンコードを適用できません。"
"Cannot open the overview page","確認画面を開けません。"
"Cannot remove the item.","商品を削除できません。"
"Cannot update shopping cart.","ショッピングカートを更新できません。"
"Card Verification Number Visual Reference","セキュリティコードビジュアルリファレンス"
"Cart Subtotal:","カート内小計："
"Change","変更"
"Change Billing Address","ご注文者住所変更"
"Checkbox Text","チェックボックスのラベル"
"Checkout","チェックアウト"
"Checkout Conditions","チェックアウト条件"
"Checkout Method","チェックアウト方法"
"Checkout Options","チェックアウトオプション"
"Checkout Section","清算部門"
"Checkout Terms and Conditions","チェックアウト契約条件"
"Checkout as Guest","登録せずに購入"
"Checkout as a Guest or Register","登録せずに購入または新規登録を選択してください"
"Checkout with Multiple Addresses","複数の住所へ配送する"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","<a href=""%s"" onclick=""this.target='_blank'"">こちら</a>から注文確認書を印刷することができます。"
"Click <a href=""%s"">here</a> to continue shopping.","<br /><button type=""button"" title=""買い物を続ける"" class=""button btn-continue"" onclick=""setLocation('%s')""><span><span>買い物を続ける</span></span></button>"
"Condition Name","条件"
"Configurable Product Image","親SKU商品の画像"
"Content","コンテンツ"
"Content Height","高さ"
"Content Height (css)","高さ (css)"
"Continue","続ける"
"Continue to Billing Information","請求情報へ"
"Continue to Review Your Order","お客さまの注文を確認します"
"Continue to Shipping Information","お届け先情報へ"
"Coupon code ""%s"" is not valid.","クーポンコード""%s""は無効です"
"Coupon code ""%s"" was applied.","クーポンコード ""%s"" を適用しました。"
"Coupon code was canceled.","クーポンコードをキャンセルしました。"
"Create Billing Address","ご注文者住所を作成"
"Create Shipping Address","お届け先を作成"
"Data saving problem","データ保存問題"
"Default Billing","デフォルトのご注文者"
"Default Shipping","デフォルトのお届け先"
"Delete Condition","条件の削除"
"Details","詳細"
"Disabled","無効"
"Discount Codes","値引コード"
"Display Cart Summary","カートの概要を表示"
"Display Shopping Cart Sidebar","ショッピングカートサイドバーを表示する"
"Display number of items in cart","カート内の商品数を表示"
"Easy access to your order history and status","簡単に注文履歴、ステータスが確認できます．"
"Edit Address","住所を編集"
"Edit Billing Address","ご注文者住所を編集"
"Edit Items","アイテムを編集"
"Edit Shipping Address","お届け先を編集"
"Edit Terms and Conditions","編集"
"Edit Your Cart","カートに戻る"
"Enable Onepage Checkout","ワンページチェックアウトを有効にする"
"Enable Terms and Conditions","契約条件を有効にする。"
"Enter a New Address","新しい住所を入力"
"Enter your coupon code if you have one.","クーポンコードがあれば入力してください。"
"Enter your destination to get a shipping estimate.","配送料の見積もりを表示するにはお届け先を入力してください。"
"Estimate Shipping and Tax","送料と税金の計算"
"Excl. Tax","税抜"
"Fast and easy check out","早く，簡単に支払い手続きができます．"
"Forgot an Item?","上記の注文でよろしいですか？"
"Forgot your password?","パスワードを忘れた方は"
"Get a Quote","見積もる"
"Grand Total:","総計："
"Grouped Product Image","グループ商品の画像"
"HTML","HTML"
"ID","ID"
"Invalid method: %s","不正な支払方法: %s"
"Item not found or already ordered","商品が見つからないか、注文済みです"
"Items","アイテム"
"Load customer quote error","お客さまの見積もり読み込みエラー"
"Loading next step...","次のステップを読み込んでいます..."
"Manage Checkout Terms and Conditions","チェックアウト契約条件を管理する"
"Maximum Display Recently Added Item(s)","最近カートに入れた商品の表示件数"
"Maximum qty allowed for Shipping to multiple addresses is %s","複数の住所へ配送する場合の最大の数量は%sです"
"Move to Wishlist","欲しいものリストに移動"
"Multishipping Checkout","複数お届け先お買い物手続き"
"Multishipping Checkout Address (Any) Form","複数お届け先お買い物手続き住所フォーム"
"Multishipping Checkout Billing Address Creation","複数お届け先お買い物手続きご注文者住所作成"
"Multishipping Checkout Billing Address Edit Form","複数お届け先お買い物手続きご注文者住所編集フォーム"
"Multishipping Checkout Billing Address Selection","複数お届け先お買い物手続きご注文者住所選択"
"Multishipping Checkout Billing Information Step","複数お届け先お買い物手続きご注文者情報ステップ"
"Multishipping Checkout Customer Address Edit Form","複数お届け先お買い物手続きお客さま住所変更フォーム"
"Multishipping Checkout Overview","複数お届け先お買い物手続き概要"
"Multishipping Checkout Shipping Address Creation","複数お届け先お買い物手続きお届け先作成"
"Multishipping Checkout Shipping Address Edit Form","複数お届け先お買い物手続きお届け先編集フォーム"
"Multishipping Checkout Shipping Address Selection","複数お届け先お買い物手続きお届け先選択"
"Multishipping Checkout Shipping Information Step","複数配送チェックアウトのお届け先情報ステップ"
"Multishipping Checkout Success","複数お届け先お買い物手続き成功"
"My Cart","マイカート"
"My Cart (%s item)","マイカート(%s個)"
"My Cart (%s items)","マイカート (%s 個)"
"My Cart Link","マイカートリンク"
"New Condition","新しい条件"
"One Page Checkout","ワンページチェックアウト"
"One Page Checkout Failure","ワンページチェックアウト失敗"
"One Page Checkout Success","ワンページチェックアウト成功"
"Order Review","注文の確認"
"Order Success","注文成功"
"Other Items in Your Order","注文の商品"
"Payment Failed Email Reciever","支払失敗時のメール受取先"
"Payment Failed Email Sender","支払失敗時のメール送信元"
"Payment Failed Emails","支払失敗時のメール"
"Payment Failed Template","支払失敗時のテンプレート"
"Payment Information","お支払い情報"
"Payment Methods After Checkout Button","支払方法の後の購入ボタン"
"Payment Methods Before Checkout Button","チェックアウトボタンの前の支払方法"
