"1.5.0.0 & later","1.5.0.0およびそれ以降"
"Add Author","著作権者を追加"
"Add Contents Path","ファイルパスを追加"
"Add PHP Extension dependency","PHP拡張機能の依存関係を追加"
"Add Package dependency","パッケージの依存関係を追加"
"Add files","ファイルの追加"
"Channel","チャネル"
"Contents","コンテンツ"
"Create Extension Package","エクステンションパッケージの作成"
"Dependencies","依存関係"
"Description","説明"
"Edit Extension","エクステンションの編集"
"Extension","エクステンション"
"Extensions","エクステンション"
"Failed to create the package.","パッケージの作成に失敗しました。"
"Failed to load the package data.","パッケージデータの読み込みに失敗しました。"
"Failed to save the package.","パッケージの保存に失敗しました。"
"Files","ファイル"
"Folder","フォルダ"
"Ignore","無視パターン"
"Include","追加パターン"
"License","ライセンス"
"License URI","ライセンスURI"
"Load Local Package","保存したパッケージ情報の読み込み"
"Load local Package","保存したパッケージ情報の読み込み"
"Magento Connect","Magento Connect"
"Magento Connect Manager","Magento Connect マネージャ"
"Maximum","最大"
"Minimum","最小"
"Name","パッケージ名"
"New Extension","新しいエクステンションの作成"
"PHP Version","PHPバージョン"
"Package","パッケージ"
"Package Extensions","Package Extensions"
"Package File Name","パッケージファイル名"
"Package Info","パッケージ情報"
"Packages","パッケージ"
"Path","パス"
"Pre-1.5.0.0","1.5.0.0未満"
"Release Info","リリース情報"
"Save As...","名前をつけて保存..."
"Save Data and Create Package","データを保存しパッケージを作成する"
"Save package with custom package file name","カスタムパッケージファイル名でパッケージを保存する"
"Summary","概要"
"Supported releases","リリース対象"
"System","システム"
"Target","対象"
"The package %s data has been loaded.","パッケージ %s のデータが読み込まれました。"
"The package data has been saved.","パッケージのデータが保存されました。"
"There was a problem saving package data","パッケージデータを保存中にエラーが発生しました。"
"User","ユーザ"
"Release Version","リリースバージョン番号"
"Recursive Dir","指定フォルダ以下全て"
