"%s","%s"
"%s already exist.","%s already exist."
"%s already exists.","%s already exists."
"-- Please Select --","-- 選択して下さい --"
"A category object is required for determining the product request path.","A category object is required for determining the product request path."
"Add Block Names to Hints","ブロック名をヒントに追加する"
"Add Secret Key to URLs","URLにシークレットキーを付与"
"Add Store Code to Urls","店舗コードをURLに追加する"
"Admin","管理"
"Admin Base URL","管理者ページベースURL"
"Admin User Emails","管理者ユーザーメールアドレス"
"Advanced","高度な設定"
"Allow Countries","対象国"
"Allowed IPs (comma separated)","許可されたIP(カンマ区切り)"
"Allows customers to stay logged in when switching between different stores.","お客さまが複数店舗間をログインしたまま行き来できるようになります。"
"Alternative text for next link in pagination menu. If empty, default arrow image will used.","改ページメニュー内の次ページの代替テキストを空にするとデフォルトの矢印画像が使用されます。"
"Alternative text for previous link in pagination menu. If empty, default arrow image will used.","改ページメニュー内の前ページの代替テキストを空にするとデフォルトの矢印画像が使用されます。"
"An error occurred while saving. Please review the error log.","An error occurred while saving. Please review the error log."
"Anchor Text for Next","次へのアンカーテキスト"
"Anchor Text for Previous","前ページへのアンカーテキスト"
"Backup Options","Backup Options"
"Base JavaScript URL","JavascriptベースURL"
"Base Link URL","リンクベースURL"
"Base Media URL","メディアベースURL"
"Base Skin URL","スキンベースURL"
"Base URL","ベースURL"
"Before modifying the store view code please make sure that it is not used in index.php.","Before modifying the store view code please make sure that it is not used in index.php."
"Before modifying the website code please make sure that it is not used in index.php.","Before modifying the website code please make sure that it is not used in index.php."
"Block with name ""%s"" already exists","""%s""の名前のブロックはすでに存在します"
"Browser Capabilities Detection","ブラウザ互換性検出"
"CSS Settings","CSS設定"
"Cache Storage Management","キャッシュストレージ管理"
"Cache storage may contain another data. Are you sure that you want flush it?","キャッシュストレージには付加的な情報も含まれています。全てを削除してよろしいですか？"
"Cache storage may contain additional data. Are you sure that you want flush it?","キャッシュストレージには付加的な情報も含まれています。全てを削除してよろしいですか？"
"Can't retrieve request object","リクエストオブジェクトを取得できません"
"Cancel","キャンセル"
"Cannot complete this operation from non-admin area.","管理者ではない場所からの操作を完了できませんでした。"
"Cannot retrieve entity config: %s","Cannot retrieve entity config: %s"
"Card type does not match credit card number","Card type does not match credit card number"
"Code","コード"
"Controller file was loaded but class does not exist","コントローラはロードされていますがクラスがありません。"
"Cookie Domain","クッキードメイン"
"Cookie Lifetime","Cookieの有効期限"
"Cookie Path","クッキーパス"
"Countries Options","国情報"
"Create Store","店舗を作成"
"Create Store View","店舗ビューを作成"
"Create Website","ウェブサイトを作成"
"Credit card number does not match credit card type","Credit card number does not match credit card type"
"Current Package Name","パッケージ名"
"Custom Admin URL","管理者用カスタムURL"
"Custom Design","カスタムデザイン"
"Custom Email 1","カスタムメール1"
"Custom Email 2","カスタムメール2"
"Custom Variables","カスタム変数"
"Customer Support","お客さまサポート"
"Date From","開始日"
"Date To","終了日"
"Date/time format ""%s"" is not supported.","日付のフォーマット ""%s"" はサポートされていません。"
"Debug","デバッグ"
"Default","デフォルト"
"Default Description","デフォルト概要"
"Default Keywords","デフォルトキーワード"
"Default No-route URL","デフォルトのページなしURL"
"Default Pages","デフォルトページ"
