"-- Please select --","-- 選択してください --"
"Allowed Currencies","許可する通貨"
"Base Currency","基本通貨"
"Base currency is used for all online payment transactions. Scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").","基本通貨はすべてのオンライン決済方法で使用されます。 スコープはカタログ価格スコープで定義されます (""カタログ"" > ""価格"" > ""カタログ価格スコープ"")."
"Cannot retrieve rate from %s.","為替レートを %s から取得できません。"
"Connection Timeout in Seconds","タイムアウトとみなす時間"
"Continue &raquo;","続ける &raquo;"
"Country Api","国API"
"Country and Format Type combination should be unique","国とフォーマットタイプの組み合わせはユニークである必要があります"
"Currency","通貨"
"Currency Options","通貨オプション"
"Currency Setup","通貨セットアップ"
"Currency Update Warnings","通貨更新警告"
"Default Display Currency","デフォルト表示通貨"
"Directory","階層"
"Error Email Recipient","エラーメール受信者"
"Error Email Sender","エラーメール送信者"
"Error Email Template","エラーメールテンプレート"
"FATAL ERROR:","致命的なエラー:"
"Frequency","頻度"
"Installed Currencies","インストール済み通貨"
"Invalid Import Service specified.","不正な取り込みサービスが指定されました。"
"Invalid country code: %s","不正な国コードです: %s"
"Invalid rates received","不正なレートを受信しました"
"Invalid target currency.","不正な通貨です。"
"List of countries","国リスト"
"List of regions in specified country","指定した国の地域リスト"
"Postal Code is Optional for the following countries","郵便番号は以下の国では任意項目です"
"Region","地域"
"Region Api","地域API"
"Scheduled Import Settings","スケジュールされたインポート設定"
"Select Your Currency","通貨を選択してください"
"Service","サービス"
"Start Time","開始時間"
"Strikeiron Email Update Warnings","メールでアップデート通知を行う"
"Unable to initialize the import model.","取り込みプログラムを初期化できません。"
"Undefined rate from ""%s-%s""."," ""%s-%s"" の為替レートは未定義です。"
"WARNING:","警告:"
"Webservicex","WebserviceX"
"Your current currency is: %s","現在の通貨: %s"
"States Options","都道府県情報"
"State is required for","都道府県情報を必須にする国"
"Display not required State","常に都道府県を表示する"
