"Add New Row","新しい列の追加"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","半角英数字、ハイフン、アンダーバーがファイル名に使用する文字として推奨されます。不正な文字は '_' に置き換えられます。"
"An error occurred while getting requested content. Please contact the store owner.","要求されたコンテンツの受信中にエラーが発生しました。店舗運営者に連絡してください。"
"An error occurred while getting the requested content.","要求されたコンテンツの受信中にエラーが発生しました。"
"An error occurred while getting the requested content. Please contact the store owner.","要求されたコンテンツの受信中にエラーが発生しました。店舗運営者に連絡してください。"
"An error occurred while saving the file(s).","ファイル保存中にエラーが発生しました。"
"Canceled","キャンセル"
"Cannot connect to remote host, error: %s.","リモートホストに接続できません。エラー内容は: %s です。"
"Catalog Product View (Downloadable)","商品ビュー (ダウンロード)"
"Customer My Account Downloadable Items","マイアカウントダウンロード商品"
"Default Link Title","デフォルトリンクタイトル"
"Default Maximum Number of Downloads","デフォルトの最大ダウンロード数"
"Default Sample Title","デフォルトのサンプルタイトル"
"Disable Guest Checkout if Cart Contains Downloadable Items","ダウンロード商品がカートにある場合はゲスト購入を無効にする"
"Downloadable Information","ダウンロード情報"
"Downloadable Product","ダウンロード商品"
"Downloadable Product Options","ダウンロード商品オプション"
"Downloadable product Section","ダウンロード商品セクション"
"Excl. Tax","税抜き"
"File","ファイル"
"Gift Message","ギフトメッセージ"
"Go to <a href=""%s"">My Downloadable Products</a>","移動 <a href=""%s"">ダウンロード商品</a>"
"Guest checkout will only work with shareable.","ゲスト購入は共有できる形でしか動作しません。"
"In Stock","在庫有"
"Invalid download URL host.","不正なダウンロードURLです。"
"Invalid download URL scheme.","不正なダウンロードURLです。"
"Invalid download link type.","不正なダウンロードリンクです。"
"Links can be purchased separately","リンクは別購入することができます"
"Max. Downloads","最大ダウンロード"
"Message:","メッセージ:"
"Move to Wishlist","欲しいものリストに移動する"
"My Downloadable Products","ダウンロード商品"
"Open Links in New Window","新しいウィンドウでリンクを開きます。"
"Order Item Status to Enable Downloads","ダウンロードが有効になるステータス"
"Ordered","注文品"
"Out of Stock","在庫切れ"
"Please log in to download your product.","ログインした上で商品をダウンロードしてください。"
"Please set resource file and link type.","ファイルとリンク形式をセットしてください。"
"Please specify product link(s).","商品リンクを指定してください。"
"Refunded","返金"
"Remaining Downloads","残りのダウンロード"
"Remove Item","商品の削除"
"Requested link does not exist.","要求されたリンクは存在しません。"
"Sample","サンプル"
"Shareable","共有可能"
"Shipped","出荷済"
"Start Download","ダウンロード開始"
"The file does not exist.","ファイルがありません。"
"The link has expired.","リンクは有効期限切れです。"
"The link is not available.","リンクは利用できません。"
"U","U"
"Unlimited","無制限"
"View Order","表示順序"
"You have not purchased any downloadable products yet.","まだダウンロード商品をご購入いただいておりません。"
"download","ダウンロード"
"sample","サンプル"
"inline","inline"
"attachment","attchment"
"Use Content-Disposition","Content-Dispositionヘッダ"
