"API Login ID","APIログインID"
"Accepted Currency","支払可能通貨"
"Authorize Only","与信確保のみ"
"Authorize and Capture","認証とキャプチャ"
"Authorize.net","Authorize.net"
"Credit Card Verification","クレジットカード検証"
"Email Customer","お客さまメールアドレス"
"Error in capturing the payment.","売上確定エラーです。"
"Error in payment gateway.","決済サービス側でのエラーです。"
"Error in refunding the payment.","エラーが発生しました。"
"Gateway error: %s","ゲートウェイ: %s"
"Invalid amount for authorization.","認証に不正な額"
"Invalid transaction ID.","不正なトランザクションID."
"Merchant's Email","マーチャントメールアドレス"
"Payment authorization error.","支払い認証エラー"
"Payment authorization transaction has been declined.","支払い認証トランザクションが拒否されました"
"Transaction Key","トランザクションキー"
