"Express Checkout and Order have been canceled.","Expressチェックアウトと注文をキャンセルしました。"
"Express Checkout has been canceled.","Expressチェックアウトをキャンセルしました。"
"PayPal Express Checkout Token does not exist.","PayPal Expressチェックアウトトークンがありません。"
"PayPal Express Order Review Form","PayPal Express注文レビューフォーム"
"Pending PayPal","PayPal保留中"
"Reports","レポート"
"Sales","セールス"
"Solo","Solo"
"Switch/Maestro","Switch/Maestro"
"Unable to cancel Express Checkout.","Expressチェックアウトをキャンセルできません。"
"Unable to initialize Express Checkout review.","Expressチェックアウトのレビューを初期化できません"
"Unable to place the order.","注文を保存できません。"
"Unable to process Express Checkout approval.","Unable to process Express Checkout approval."
"Unable to start Express Checkout.","Expressチェックアウトを開始できません"
"Unable to update shipping method.","配送方法を更新できません。"
"View Transaction","トランザクションを表示"
"Wrong PayPal Express Checkout Token specified.","不正なPayPal Expressチェックアウトトークンが指定されました。"
"You will be redirected to the PayPal website in a few seconds.","数秒後にPayPalのサイトにリダイレクトします。"
