"Abandoned Carts","無効になったショッピングカート"
"Abandoned carts","カートを破棄する"
"Add to Compare","比較する"
"Any","すべて"
"Applied Coupon","適用されたクーポン"
"Applies to Any of the Specified Order Statuses","指定した注文ステータスすべてに適用する"
"Are you sure you want to refresh lifetime statistics? There can be performance impact during this operation.","統計情報を更新しても構いませんか？ 処理中はシステムのパフォーマンスに影響を及ぼします。"
"Avg. Approved Rating","平均の承認済み評価件数"
"Avg. Rating","平均評価点数"
"Bestsellers","ベストセラー"
"Bought from wishlists","欲しいものリストから購入済み"
"Carts","カート"
"Compared Products Grid Template","商品比較グリッドテンプレート"
"Compared Products List Template","比較された商品リストテンプレート"
"Coupons","クーポン"
"Coupons Usage Report","クーポン使用レポート"
"Created At","作成日"
"Current Month Starts","現在の月から開始"
"Customer Name","お客さま名"
"Customer Tags","お客さまのタグ"
"Customers Report","お客さまのレポート"
"Customers Tags","お客さまのタグ"
"Customers by Number of Orders","お客さまごとの注文件数"
"Customers by Orders Total","お客さまごとの注文総額"
"Customers by number of orders","注文数順にお客さまを並べ替え"
"Customers by orders total","注文額合計順にお客さまを並べ替え"
"Customers that have wishlist: %s%","欲しいものリストを持つお客さま: %s%"
"Dashboard","ダッシュボード"
"Day","日"
"Default Recently Compared Products Count","最近比較された商品数のデフォルト値"
"Default Recently Viewed Products Count","最近見られた商品数のデフォルト値"
"Description","概要"
"Detail","詳細"
"Downloads","ダウンロード"
"Empty Rows","空白行"
"Excel","MSエクセル"
"Filter","フィルタ"
"From","開始"
"Guest","ゲスト"
"Hits","ヒット"
"ID","ID"
"IP Address","IPアドレス"
"Index model name must be defined","インデックスモデル名を定義してください"
"Invalid date specified.","不正な日付が指定されました。"
"Items in Cart","カーとの中の商品"
"Last Review","最新のレビュー"
"Link","リンク"
"List of Products Recently Compared and Removed from the Compare List by Visitor","訪問者に比較リストで最近比較されたかリストから削除された商品リスト"
"List of Products Recently Viewed by Visitor","訪問者に最近見られた商品のリスト"
"Low Stock","在庫わずか"
"Low stock","在庫薄"
"Match Period To","期間の指定"
"Most Viewed","最も見られた商品"
"Name","名前"
"New Accounts","新しいアカウント"
"No records found for this period.","この期間にはデータがありません。"
"Number Added","追加された数"
"Number Fulfilled","番号化されたもの"
"Number Of Reviews","レビュー数"
"Number Purchased","購入数"
"Number Viewed","見られた数"
"Number of Items","商品数"
"Number of New Accounts","新しいアカウント数"
"Number of Products to display","商品表示件数"
"Number of Reviews","レビュー数"
"Number of Times Deleted","削除された回数"
"Number of Total Tags","タグの合計数"
"Number of Unique Tags","ユニークタグ数"
"Number of Views","見られた回数"
"Number of items bought from a wishlist: %s","欲しいものリストから購入された商品数: %s"
"Number of times wishlists have been shared (emailed): %s","共有された(emailされた)欲しいものリストの数: %s"
"Number of wishlist conversions: %s","欲しいものリストコンバージョンの数: %s"
"Number of wishlist referrals: %s","参照された欲しいものリストの数: %s"
"Number of wishlists: %s","欲しいものリストの数: %s"
"Order Taxes Report Grouped by Tax Rate","税率でグループ化した税のレポート"
"Order Taxes Report Grouped by Tax Rates","税率でグループ化した税のレポート"
"Orders","注文"
"Out of stock","在庫切れ"
"Period","期間"
"Poducts Report","商品レポート"
"Popular Tags","ポピュラーなタグ"
"Popularity","人気"
"Product Reviews","商品レビュー"
"Product SKU","SKU"
"Product Tags","商品タグ"
"Products Ordered","最近注文された商品"
"Products Report","商品レポート"
"Products Tags","商品のタグ"
"Products in carts","カート内の商品"
"Purchases","購入品"
"Quantity of Items","商品の個数"
"Recently Compared","最近比較された商品"
"Recently Compared Products","最近比較した商品"
"Recently Viewed","最近見られた商品"
"Recently Viewed Products","最近見た商品"
"Recently Viewed/Compared Products","最近見られた/比較された商品"
"Refresh Lifetime Statistics","集計期間の統計を更新"
"Refresh Statistics","統計を更新"
"Refresh Statistics for the Last Day","昨日の統計を更新する"
"Refunds","返金"
"Report","レポート"
"Reports","レポート"
"Results","結果"
"Revenue","収入"
"Review","レビュー"
"Reviews","レビュー"
"Reviews for %s","%s のレビュー"
"Sales","売上高"
"Sales Report","セールスレポート"
"Search Query","検索クエリ"
"Search Terms","検索語"
"Select day of the month.","月の日を選択してください。"
"Shipping","送料"
"Show Actual Values","実際の値を表示"
"Show Report","レポート表示"
"Show for Current","最新を表示"
"Specified","指定の"
"Statistics","統計"
"Stock Qty","在庫数"
"Submitted In","送信元"
"Submitted On","送信先"
"Subtotal","合計"
"Tag","タグ"
"Tag ""%s"" details","タグ ""%s"" 詳細"
"Tag Detail","タグ詳細"
"Tag Name","タグ名"
"Tag Use","使用中のタグ"
"Tags Submitted by %s","%s によって投稿されたタグ"
"Tags submitted to %s","%sに送信されたタグ"
"Tax","税"
"To","終了"
"Total Invoiced vs. Paid Report","領収額と支払額の合計レポート"
"Total Ordered Report","注文合計レポート"
"Total Refunded Report","返金額合計レポート"
"Total Shipped Report","出荷合計レポート"
"Total Tags","合計タグ数"
"Total invoiced","領収額合計"
"Total refunded","返金合計"
"Viewed Products Grid Template","見られた商品グリッドテンプレート"
"Viewed Products List Template","見られた商品リストテンプレート"
"Visible In","表示先"
"Wishlist Report","欲しいものリストレポート"
"Wishlist vs. Regular Order","欲しいものリスト vs. 通常の注文"
"Wishlists","欲しいものリスト"
"Year-To-Date Starts","開始日"
"Your Recently Compared","最近比較した商品"
"Your Recently Viewed","最近見られた商品"
"undefined","未定義"
"Order Updated Date","注文更新日"
"Show By:","表示単位:"
