"Active","有効"
"""%s"" coupon code is not valid.","クーポンコードは""%s""正しくありません。"
"%s","%s"
"%s / %s rate:","%s / %s 率:"
"%s for %s","%s のための %s"
"%s order(s) cannot be canceled","%s 件の注文がキャンセルできませんでした。"
"%s order(s) have been canceled.","%s 件の注文をキャンセルしました。"
"%s order(s) have been put on hold.","%s order(s) have been put on hold."
"%s order(s) have been released from holding status.","%s order(s) have been released from holding status."
"%s order(s) were not put on hold.","%s order(s) were not put on hold."
"%s order(s) were not released from holding status.","%s order(s) were not released from holding status."
"* - Enter custom price excluding tax","* - 税別のカスタム価格を入力"
"* - Enter custom price including tax","* - 税込みのカスタム価格を入力"
"-- Please Select --","-- 選択してください --"
"-- Please Select Billing Agreement--","-- 請求同意書を選択してください--"
"About This Order:","この注文について:"
"About This Profile:","このプロファイルについて:"
"About Your Order","注文概要"
"Accept Payment","Accept Payment"
"Accept or Deny Payment","支払の受入もしくは拒否"
"Activate","Activate"
"Add Gift Messsage","ギフトメッセージを追加"
"Add New Address","住所追加"
"Add Order Comments","注文コメントを追加"
"Add Products","商品追加"
"Add Selected Product(s) to Option","選択した商品をオプションに追加"
"Add Selected Product(s) to Order","選択した商品を注文に追加する"
"Add To Order","注文にくわえる"
"Add Tracking Number","追跡番号追加"
"Add a gift message for <strong>each gift item</strong>","<strong>それぞれの商品に</strong>ギフトメッセージを追加"
"Add a gift message for the <strong>entire order</strong>","<strong>すべての注文に</strong>ギフトメッセージを一つ追加"
"Add comment to order","注文にコメントを追加"
"Add new comment to shipment","配送に新しいコメントを追加"
"Add new tracking number","新しいトラッキング番号を追加"
"Address model is not defined.","Address model is not defined."
"Adjustment Fee","調整料"
"Adjustment Refund","払戻調整"
"Agreement Information","Agreement Information"
"Allow Reorder","再注文を許可"
"Amount","金額"
"Amount: %s.","価格: %s."
"An item option with code %s already exists.","An item option with code %s already exists."
"Append Comments","コメントを追加"
"Apply","適用"
"Apply Coupon Code","クーポンコードを適用する"
"Approved the payment online.","オンラインで受け付けられました。"
"Are you sure you want to accept this payment?","この支払方法でよろしいですか？"
"Are you sure you want to cancel this order?","注文をキャンセルしてもよろしいですか？"
"Are you sure you want to deny this payment?","Are you sure you want to deny this payment?"
"Are you sure you want to do this?","実行してよろしいですか？"
"Are you sure you want to send Creditmemo email to customer?","返金メールを送信してもいいですか？"
"Are you sure you want to send Invoice email to customer?","領収メールを送信してもいいですか？"
"Are you sure you want to send Shipment email to customer?","出荷メールを送信してもいいですか？"
"Are you sure you want to send order email to customer?","注文受付メールを送信してもいいですか？"
"Are you sure you want to void the payment?","決済データを取り消してもかまいませんか？"
"Are you sure? This order will be canceled and a new one will be created instead","編集元の注文データはキャンセルされ、新しい注文データが作成されます。よろしいですか？"
"At least a payment ID must be set.","決済IDが必要です。"
"Authorization","Authorization"
"Authorized amount of %s.","オーソリ取得済み金額 %s."
"Authorizing amount of %s is pending approval on gateway.","オーソリ対象額 %s が決済ゲートウェイで承認待ちです。"
"Back to Billing Agreements","請求同意書に戻る"
"Back to My Orders","注文に戻る"
"Back to Recurring Profiles","定期購入に戻る"
"Backordered","バックオーダー中"
"Bestsellers","ベストセラー"
"Bill to Name","ご注文者名"
"Billing","請求"
"Billing Address","ご注文者住所"
"billing address","ご注文者住所"
"shipping address","お届け先"
"Billing Agreement","請求同意書"
"Billing Agreement # %s","請求同意書番号 %s"
"Billing Agreement #%s","請求同意書番号 %s"
"Billing Agreement View","請求同意書表示"
"Billing Agreements","請求同意書"
"Buy %s for price %s","値段%sで%s買う"
"CSV","CSV"
"Cancel","キャンセル"
"Cancel invoice","領収キャンセル"
"Cancel order","注文キャンセル"
"Canceled","キャンセル済"
"Canceled order offline.","オフラインで注文をキャンセル"
"Canceled order online.","オンラインでキャンセルする。"
"Cannot add order history.","注文履歴を追加できません。"
"Cannot create an empty shipment.","空の配送を作成できません。"
"Cannot determine the field name.","フィールド名を指定できません。"
"Cannot do invoice for order.","領収を作成できません。"
"Cannot do shipment for order.","Cannot do shipment for order."
"Cannot get order instance","Cannot get order instance"
"Cannot get the order instance.","Cannot get the order instance."
"Cannot register an existing credit memo.","Cannot register an existing credit memo."
"Cannot register existing invoice","領収データが既に存在しています。"
"Cannot register existing shipment","Cannot register existing shipment"
"Capture","キャプチャ"
"Capture Amount","計上金額"
"Capture Offline","オフライン計上"
"Capture Online","オンライン計上"
"Capture invoice","領収計上"
"Captured amount of %s online.","%s が処理されました。"
"Capturing amount of %s is pending approval on gateway.","売上確定額 %s が決済ゲートウェイで保留中です。"
"Carrier","配送業者"
"Carrier/Method","配送/方法"
