"# of Uses","# 使用"
"%s tag(s) have been accepted for moderation.","%s個のタグを承認待ちで受け付けました。"
"<strong>Tag Name:</strong> %s","<strong>タグ名:</strong> %s"
"Add New Tag","新規タグの追加"
"Add Tags","タグの追加"
"Add Your Tags:","タグに追加する:"
"All Tags","全てのタグ"
"Are you sure you want to delete this tag?","このタグを削除してもいいですか？"
"Are you sure you want to do this?","実行してもいいですか？"
"Back to Tags List","タグリストに戻る"
"Base Popularity","注目度の基準"
"Block Information","ブロック情報"
"Change status","ステータス変更"
"Click on a tag to view your corresponding products.","タグをクリックして関連する商品を表示します。"
"Customer My Account My Tags List","マイアカウントタグリスト"
"Customer My Account Tag View","マイアカウントタグ詳細"
"Customers Submitted this Tag","お客さまがつけたタグ"
"Customers Tagged '%s'","'%s'タグ付けされたお客さま"
"Delete Tag","タグの削除"
"Disabled","無効"
"Edit Tag '%s'","'%s'タグを編集"
"Grid","表"
"ID","タグID"
"List","リスト"
"Manage Tags","タグ管理"
"My Recent Tags","最近のタグ"
"My Tags","タグ"
"Name","名前"
"New Tag","新しいタグ"
"No matches found.","一致するものが見つかりません。"
"Other people marked this product with these tags:","ほかの人はこんなタグをつけています:"
"Pending Tags","処理待ち中のタグ"
"Popular","人気"
"Popular Tags","人気のタグ"
"Product Tags","商品のタグ"
"Products Tagged by Administrators","管理者が商品につけたタグ"
"Products Tagged by Customers","お客さまが商品に付けているタグ"
"Products Tagged with '%s'","'%s'タグ付けされた商品"
"Products tagged with '%s'","'%s' タグ付けされた商品"
"Rebuild Tag aggregation data","タグ集計データの再構築"
"Save Tag","保存"
"Store View","店舗ビュー"
"Tag","タグ"
"Tag ""%s"" has already been added to the product.","タグ""%s""は既に商品に関連付けられています。"
"Tag ""%s"" has been added to the product.","タグ""%s""を商品に関連付けました。"
"Tag ""%s"" has been rejected by administrator.","タグ""%s""葉管理者によって拒否されました。"
"Tag Aggregation Data","タグ集計データ"
"Tag Name","タグ名"
"Tagged Products List","タグづけられている商品一覧"
"Tags","タグ"
"Tags List (All Available)","タグリスト(利用可能なすべて)"
"Tags:","タグ:"
"The tag has been deleted.","タグを削除しました。"
"There are no tags available.","利用可能なタグはありません。"
"Unable to find any products tagged with '%s' in the current store","現在の店舗で'%s'とタグ付けされた商品はありません"
"Unable to remove tag. Please, try again later.","タグを削除できません。やり直してください。"
"Unable to save tag(s).","タグを保存できません。"
"Use spaces to separate tags. Use single quotes (') for phrases.","タグを区切るには空白を使って下さい。タグがフレーズの場合は、「'」で囲って下さい。"
"View All Tags","全てのタグを見る"
"View Customers","お客さまを見る"
"View Products","商品を見る"
"XML","XMLファイル"
"You have not tagged any products yet.","タグ付けした商品はありません"
"ZIP/Post Code","郵便番号"
