"%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$sを欲しいものリストに追加しました。<a href=""%2$s"">ここ</a>をクリックしてお買い物を続けてください。"
"%d product(s) have been added to shopping cart: %s.","%dこの商品がショッピングカートに追加されました: %s."
"%s's Wishlist","%sの欲しいものリスト"
"Add All to Cart","全てカートに入れる"
"Added On","登録日"
"An error occurred while adding item to wishlist.","欲しいものリストに商品を追加中にエラーが発生しました。"
"An error occurred while adding item to wishlist: %s","%sを欲しいものリストに追加中にエラーが発生しました。"
"An error occurred while deleting the item from wishlist.","欲しいものリストから商品を削除中にエラーが発生しました。"
"An error occurred while deleting the item from wishlist: %s","欲しいものリストから%sを削除中にエラーが発生しました。"
"Are you sure you want to remove this product from your wishlist?","本当に欲しいものリストからこの商品を削除してよろしいですか？"
"Are you sure you would like to remove this item from the wishlist?","本当に欲しいものリストから削除しますか？"
"Can\'t save description %s","説明を保存できません %s"
"Can\'t update wishlist","欲しいものリストを更新できません。"
"Cannot add item to shopping cart","商品をショッピングカートに追加できません"
"Cannot create wishlist.","欲しいものリストを作成できません。"
"Cannot specify product.","商品を特定できません。"
"Cannot specify wishlist.","欲しいものリストを特定できません。"
"Cannot update wishlist","欲しいものリストを更新できません。"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","あなたの欲しいものリストへのRSSフィードにリンクするなら、ここをチェックしてください"
"Comment:","コメント:"
"Customer My Account My Wishlist","マイアカウント欲しいものリスト"
"Customer My Account Wishlist Sharing Form","マイアカウント欲しいものリスト共有元"
"Customer Shared Wishlist View","欲しいものリスト共有画面"
"Email Sender","メール送信元"
"Email Template","メールテンプレート"
"Email address can\'t be empty.","メールアドレスを入力してください。"
"Email addresses, separated by commas","メールアドレスは「,」で区切る必要があります"
"General Options","全般"
"Go to Wishlist","欲しいものリストへいく"
"Last Added Items","最後に追加した商品"
"My Wishlist","欲しいものリスト"
"My Wishlist (%d item)","欲しいものリスト(%dアイテム)"
"My Wishlist (%d items)","欲しいものリスト(%dアイテム)"
"My Wishlist <small>(%d)</small>","欲しいものリスト <small>(%d)</small>"
"Out of stock","在庫切れ"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","正しいメールアドレスを「,」で区切って入力してください。（例）johndoe@domain.com, johnsmith@domain.com."
"Please enter your comments...","コメントを入力してください..."
"Please input a valid email address.","正しいメールアドレスを入力してください。"
"Please, enter your comments...","コメントを登録することができます"
"Product(s) %s are grouped. Each of them can be added to cart separately only.","%sはグループ化されています。個別にのみカートに入れることができます。"
"Product(s) %s have required options. Each of them can be added to cart separately only.","%sはオプションの指定が必要です。個別にしかカートに登録できません。"
"RSS Feed","RSS フィード"
"RSS link to %s's wishlist","%sの欲しいものリストへのRSSリンク"
"Remove Item","商品を削除する"
"Remove This Item","商品を削除"
"Remove item","商品の削除"
"Share Options","共有オプション"
"Share Wishlist","欲しいものリストを共有"
"Share Your Wishlist","欲しいものリストを共有"
"Sharing Information","共有情報"
"This product(s) is currently out of stock","申し訳ございませんが、只今品切れ中です。"
"Unable to add the following product(s) to shopping cart: %s.","以下の商品をショッピングカートに追加できませんでした: %s."
"Update Wishlist","欲しいものリスト更新"
"View Product","商品を見る"
"Wishlist Section","欲しいものリストセクション"
"Wishlist Sharing","欲しいものリストを共有しています"
"Wishlist is empty now.","欲しいものリストは空です。"
"You have no items in your wishlist.","あなたの欲しいものリストには商品がありません"
"Your Wishlist has been shared.","欲しいものリストを共有しました。"
"My Wishlist Link","欲しいものリストリンク"
"Display Wishlist Summary","欲しいものリストの要約"
"Display item quantities","商品の購入数量を表示"
"Display number of items in wishlist","商品数を表示"
