"Costs for inland shipping","国内手数料"
"Costs for shipping to foreign countries","海外手数料"
"Custom text for checkout page","チェックアウト時に表示する文字列"
"Cash on Delivery","代引"
"Cash On Delivery","代引"
"Cash on Delivery fee","代引手数料"
"You will be charged an extra fee of %s.","代引手数料 %s"
"Cash on Delivery fee (Excl.Tax)","代引手数料(税別)"
"Cash on Delivery fee (Incl.Tax)","代引手数料(税込)"
"Cash on Delivery fee %s","代引手数料 %s"
"Refund Cash on Delivery fee","代引手数料払戻"
"Display Zero Fee","手数料無料時に表示する"
"New order status","新規注文ステータス"
"Sort order","並び順"
"Shipment to applicable countries","適用可能な国"
"Shipment to Specific countries","国を指定"
"Disallow specific shipping methods","特定の出荷方法を無効にする"
"Disallowed shipping methods","無効になる出荷方法"
"Tax Class for Cash on Delivery Fee","代引手数料の課税区分"
"Cash on Delivery fee include tax","代引手数料は税込"
"Display Cod Fee","代引手数料表示"
