sku,_attribute_set,_product_websites,_store,_type,_root_category,_category,name,short_description,description,price,size,color,url_key,has_options,required_options,status,tax_class_id,visibility,qty,is_in_stock,manage_stock,_super_products_sku,_super_attribute_code,_super_attribute_option
2011015180111,属性セット（標準）,dannyanne,,simple,Danny&Anne,アウター,テーラードジャケット/FREE/BLACK,（未使用）,（未使用）,25200,FREE,BLACK,2011015180111,0,0,1,4,1,1,1,1,,,
2011015180418,属性セット（標準）,dannyanne,,simple,Danny&Anne,アウター,テーラードジャケット/FREE/BEIGE,（未使用）,（未使用）,25200,FREE,BEIGE,2011015180418,0,0,1,4,1,1,1,1,,,
2011016590131,属性セット（標準）,dannyanne,,simple,Danny&Anne,アウター,ノーカラーライダースジャケット/S/BLACK,（未使用）,（未使用）,19950,S,BLACK,2011016590131,0,0,1,4,1,1,1,1,,,
2011016590148,属性セット（標準）,dannyanne,,simple,Danny&Anne,アウター,ノーカラーライダースジャケット/M/BLACK,（未使用）,（未使用）,19950,M,BLACK,2011016590148,0,0,1,4,1,1,1,1,,,
2011016590438,属性セット（標準）,dannyanne,,simple,Danny&Anne,アウター,ノーカラーライダースジャケット/S/BEIGE,（未使用）,（未使用）,19950,S,BEIGE,2011016590438,0,0,1,4,1,1,1,1,,,
2011016590445,属性セット（標準）,dannyanne,,simple,Danny&Anne,アウター,ノーカラーライダースジャケット/M/BEIGE,（未使用）,（未使用）,19950,M,BEIGE,2011016590445,0,0,1,4,1,1,1,1,,,
2011024050214,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,アシンメトリーフレアーノースリーブ/FREE/WHITE,（未使用）,（未使用）,12600,FREE,WHITE,2011024050214,0,0,1,4,1,1,1,1,,,
2011024050412,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,アシンメトリーフレアーノースリーブ/FREE/BEIGE,（未使用）,（未使用）,12600,FREE,BEIGE,2011024050412,0,0,1,4,1,1,1,1,,,
2011024160111,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,シフォンフレアージレ/FREE/BLACK,（未使用）,（未使用）,11550,FREE,BLACK,2011024160111,0,0,1,4,1,1,1,1,,,
2011024160210,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,シフォンフレアージレ/FREE/WHITE,（未使用）,（未使用）,11550,FREE,WHITE,2011024160210,0,0,1,4,1,1,1,1,,,
2011024190231,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,スリットスリーブシャツ/S/WHITE,（未使用）,（未使用）,11550,S,WHITE,2011024190231,0,0,1,4,1,1,1,1,,,
2011024190248,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,スリットスリーブシャツ/M/WHITE,（未使用）,（未使用）,11550,M,WHITE,2011024190248,0,0,1,4,1,1,1,1,,,
2011024190439,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,スリットスリーブシャツ/S/BEIGE,（未使用）,（未使用）,11550,S,BEIGE,2011024190439,0,0,1,4,1,1,1,1,,,
2011024190446,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,スリットスリーブシャツ/M/BEIGE,（未使用）,（未使用）,11550,M,BEIGE,2011024190446,0,0,1,4,1,1,1,1,,,
2011024200718,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,ポンチョシャツ(BLUE)/FREE/BLUE,（未使用）,（未使用）,12600,FREE,BLUE,2011024200718,0,0,1,4,1,1,1,1,,,
2011024210236,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,アシンメトリーフレアブラウス/S/WHITE,（未使用）,（未使用）,15750,S,WHITE,2011024210236,0,0,1,4,1,1,1,1,,,
2011024210243,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,アシンメトリーフレアブラウス/M/WHITE,（未使用）,（未使用）,15750,M,WHITE,2011024210243,0,0,1,4,1,1,1,1,,,
2011024210830,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,アシンメトリーフレアブラウス/S/NAVY,（未使用）,（未使用）,15750,S,NAVY,2011024210830,0,0,1,4,1,1,1,1,,,
